,Timestamp,I come to lecture:,I've had prior machine learning / data science experience,Which section are you in?,"About how long, in hours, did you study for exam 1?",What year are you?,Did you do the readings?,How many hours a day on average do you spend on sites with infinite scroll?,How many hours of sleep did you get the night before the exam?,Did you leave the exam early?,What grade do you think you got?,I wanted the extra credit but just put down random responses (you'll still get the extra credit if you say yes),Total Score,Max Points
0,10/19/2025 11:23:58,Always,None,,9.0,Junior,Some of them,6.0,7.0,Yes,D,No,42.3,65.0
2,10/19/2025 11:24:24,Always,None,,6.0,Junior,Some of them,0.0,5.0,No,D,Yes,21.4,65.0
3,10/19/2025 11:24:27,Always,None,,5.0,Junior,Some of them,2.0,7.0,No,B,No,51.5,65.0
4,10/19/2025 11:24:47,Always,None,,6.0,Junior,All of them,0.0,8.0,No,B,No,52.4,65.0
5,10/19/2025 11:24:50,Always,Quite a bit,,3.0,Junior,Some of them,3.0,3.0,No,C,No,49.5,65.0
6,10/19/2025 11:25:28,Always,None,,5.0,Junior,Some of them,5.0,7.0,No,C,No,42.3,65.0
7,10/19/2025 11:25:37,Always,Some,,3.0,Junior,All of them,2.5,5.0,No,A,Yes,56.4,65.0
8,10/19/2025 11:25:52,More than half the time,Some,,7.0,Junior,Some of them,3.0,6.0,No,D,Yes,42.8,65.0
9,10/19/2025 11:26:19,Always,Quite a bit,,8.0,Sophomore,All of them,2.0,7.0,Yes,A,No,57.1,65.0
10,10/19/2025 11:26:39,More than half the time,Some,,48.0,Senior,All of them,2.0,4.0,No,C,Yes,32.3,65.0
11,10/19/2025 11:26:59,Less than half the time,Quite a bit,,20.0,Sophomore,All of them,4.0,9.0,No,B,No,58.9,65.0
12,10/19/2025 11:28:23,More than half the time,Some,,5.0,Junior,All of them,2.0,7.0,No,B,No,48.8,65.0
13,10/19/2025 11:28:39,More than half the time,Some,,5.0,Junior,All of them,3.0,6.0,Yes,B,No,54.4,65.0
14,10/19/2025 11:28:48,More than half the time,None,,4.0,Junior,Some of them,1.0,6.0,No,B,No,32.3,65.0
15,10/19/2025 11:28:58,More than half the time,Some,,3.0,Senior,None of them,3.0,8.0,No,B,No,38.9,65.0
16,10/19/2025 11:29:20,More than half the time,Quite a bit,,4.0,Junior,All of them,1.5,7.0,No,C,No,35.7,65.0
17,10/19/2025 11:29:29,Always,Quite a bit,,3.0,Senior,All of them,2.0,8.0,No,A,No,57.4,65.0
18,10/19/2025 11:29:35,Less than half the time,None,,16.0,Senior,Some of them,0.0,5.0,Yes,D,No,31.3,65.0
19,10/19/2025 11:29:47,More than half the time,Some,,15.0,Junior,I don't want to respond,1.0,7.0,No,C,Yes,36.8,65.0
20,10/19/2025 11:30:40,Less than half the time,Some,,5.0,Senior,Some of them,2.0,7.0,No,B,No,47.5,65.0
21,10/19/2025 11:31:37,More than half the time,Quite a bit,,40.0,Junior,All of them,2.0,5.0,No,C,No,33.0,65.0
22,10/19/2025 11:32:03,Always,None,,30.0,Junior,All of them,2.5,4.0,No,B,No,41.4,65.0
23,10/19/2025 11:32:49,Always,None,,12.0,Junior,Some of them,4.0,8.0,No,B,No,52.3,65.0
24,10/19/2025 11:33:37,Always,None,,24.0,Senior,All of them,4.0,8.0,No,B,Yes,42.4,65.0
25,10/19/2025 11:34:34,Always,None,,6.0,It's complicated,All of them,1.0,8.0,No,C,No,53.4,65.0
26,10/19/2025 11:35:00,More than half the time,None,,12.0,Junior,Some of them,1.5,5.0,Yes,C,No,45.8,65.0
27,10/19/2025 11:35:05,Basically never,Quite a bit,,6.0,Junior,Some of them,3.0,8.0,No,A,No,57.5,65.0
28,10/19/2025 11:35:59,Always,None,,4.0,Sophomore,Some of them,3.0,7.5,No,A,No,51.5,65.0
29,10/19/2025 11:36:04,Always,Some,,6.0,Junior,Some of them,7.0,3.0,No,B,No,46.2,65.0
30,10/19/2025 11:36:17,More than half the time,None,,1.0,Junior,Some of them,3.0,6.0,Yes,B,No,36.4,65.0
31,10/19/2025 11:38:30,Always,None,,20.0,Sophomore,Some of them,2.0,10.0,No,C,No,41.4,65.0
32,10/19/2025 11:41:32,Always,None,,20.0,Junior,All of them,3.0,7.0,No,B,No,34.8,65.0
33,10/19/2025 11:43:30,Always,Some,,10.0,It's complicated,Some of them,5.0,5.0,No,B,No,39.0,65.0
34,10/19/2025 11:43:54,Always,None,,20.0,Junior,All of them,2.0,7.0,No,B,No,41.3,65.0
35,10/19/2025 11:47:10,More than half the time,None,,4.0,Junior,Some of them,3.0,6.0,No,B,No,44.9,65.0
36,10/19/2025 11:49:02,Always,Some,,4.0,Sophomore,Some of them,2.0,8.0,No,C,No,50.5,65.0
37,10/19/2025 11:49:51,More than half the time,None,,4.0,Sophomore,All of them,6.0,9.0,Yes,B,No,49.9,65.0
38,10/19/2025 11:53:13,Always,None,2:00pm,8.0,Junior,Some of them,3.0,7.0,No,C,No,32.3,65.0
39,10/19/2025 11:54:41,More than half the time,Some,2:00pm,6.0,Junior,Some of them,5.0,4.0,Yes,C,No,30.2,65.0
40,10/19/2025 11:58:46,Always,Some,2:00pm,10.0,Junior,Some of them,3.0,6.5,No,B,No,42.4,65.0
41,10/19/2025 12:00:16,Always,None,9:30am,8.0,Senior,All of them,1.5,9.0,No,B,No,61.5,65.0
42,10/19/2025 12:03:14,More than half the time,None,2:00pm,10.0,Junior,All of them,1.0,5.0,No,C,No,35.1,65.0
43,10/19/2025 12:10:11,Always,None,9:30am,20.0,Junior,All of them,2.0,8.0,No,B,No,48.3,65.0
44,10/19/2025 12:12:14,Always,Some,2:00pm,5.0,Junior,All of them,1.5,8.0,Yes,B,No,53.5,65.0
45,10/19/2025 12:19:26,Always,Quite a bit,2:00pm,8.0,Junior,All of them,0.0,5.0,No,A,No,55.9,65.0
